epoch,lr,batch_size,undersample_frac,structure,tn,fp,fn,tp,f1
0,0.0001,64,1,Brain,2377,654,1132,285,0.48442339942783863
0,0.0001,64,1,Bone_Mandible,3176,399,788,85,0.4839142037430906
0,0.0001,64,1,SpinalCanal,260,1523,457,2208,0.44921575984990614
0,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
0,0.0001,64,1,Lung_R,763,2441,168,1076,0.410525310570798
0,0.0001,64,1,Glnd_Submand_R,4054,8,386,0,0.4768289814161374
0,0.0001,64,1,Glnd_Lacrimal_R,3970,275,193,10,0.49266116579058195
0,0.0001,64,1,Cochlea_L,3839,515,88,6,0.4733474512622194
0,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
0,0.0001,64,1,Lens_R,4176,158,108,6,0.5061499187746578
0,0.0001,64,1,SpinalCord,390,1481,632,1945,0.4588128219563453
0,0.0001,64,1,Parotid_R,3423,399,577,49,0.48323570010003775
0,0.0001,64,1,Glnd_Submand_L,4074,6,367,1,0.4807795642139029
0,0.0001,64,1,Brainstem,2818,986,514,130,0.4687627395026498
0,0.0001,64,1,OpticNrv_cnv_L,4173,144,130,1,0.4877299169440802
0,0.0001,64,1,Cochlea_R,4323,37,88,0,0.49287424466993507
0,0.0001,64,1,Eye_R,4093,70,278,7,0.49894798446771904
0,0.0001,64,1,Lens_L,3572,764,88,24,0.4733900283475071
0,0.0001,64,1,Lung_L,1717,1492,566,673,0.5103451404157568
0,0.0001,64,1,Eye_L,4150,15,283,0,0.4826703884624331
0,0.0001,64,1,Parotid_L,3724,100,614,10,0.4698846986132986
0,0.0001,64,1,Brain,2377,654,1132,285,0.48442339942783863
0,0.0001,64,1,Bone_Mandible,3176,399,788,85,0.4839142037430906
0,0.0001,64,1,SpinalCanal,260,1523,457,2208,0.44921575984990614
0,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
0,0.0001,64,1,Lung_R,763,2441,168,1076,0.410525310570798
0,0.0001,64,1,Glnd_Submand_R,4054,8,386,0,0.4768289814161374
0,0.0001,64,1,Glnd_Lacrimal_R,3970,275,193,10,0.49266116579058195
0,0.0001,64,1,Cochlea_L,3839,515,88,6,0.4733474512622194
0,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
0,0.0001,64,1,Lens_R,4176,158,108,6,0.5061499187746578
0,0.0001,64,1,SpinalCord,390,1481,632,1945,0.4588128219563453
0,0.0001,64,1,Parotid_R,3423,399,577,49,0.48323570010003775
0,0.0001,64,1,Glnd_Submand_L,4074,6,367,1,0.4807795642139029
0,0.0001,64,1,Brainstem,2818,986,514,130,0.4687627395026498
0,0.0001,64,1,OpticNrv_cnv_L,4173,144,130,1,0.4877299169440802
0,0.0001,64,1,Cochlea_R,4323,37,88,0,0.49287424466993507
0,0.0001,64,1,Eye_R,4093,70,278,7,0.49894798446771904
0,0.0001,64,1,Lens_L,3572,764,88,24,0.4733900283475071
0,0.0001,64,1,Lung_L,1717,1492,566,673,0.5103451404157568
0,0.0001,64,1,Eye_L,4150,15,283,0,0.4826703884624331
0,0.0001,64,1,Parotid_L,3724,100,614,10,0.4698846986132986
1,0.0001,64,1,Brain,1996,1035,878,539,0.5182259168133811
1,0.0001,64,1,Bone_Mandible,3575,0,873,0,0.4455939174872242
1,0.0001,64,1,SpinalCanal,0,1783,0,2665,0.374666104316041
1,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
1,0.0001,64,1,Lung_R,2584,620,722,522,0.6157039978471447
1,0.0001,64,1,Glnd_Submand_R,4062,0,386,0,0.4773207990599295
1,0.0001,64,1,Glnd_Lacrimal_R,4245,0,203,0,0.4883239388013344
1,0.0001,64,1,Cochlea_L,4354,0,94,0,0.49466030447625536
1,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
1,0.0001,64,1,Lens_R,4334,0,114,0,0.4935094511500797
1,0.0001,64,1,SpinalCord,0,1871,0,2577,0.3668327402135231
1,0.0001,64,1,Parotid_R,3822,0,626,0,0.46215235792019344
1,0.0001,64,1,Glnd_Submand_L,4080,0,368,0,0.4784240150093808
1,0.0001,64,1,Brainstem,3804,0,644,0,0.46097915656810473
1,0.0001,64,1,OpticNrv_cnv_L,4317,0,131,0,0.4925270964061609
1,0.0001,64,1,Cochlea_R,4360,0,88,0,0.49500454132606725
1,0.0001,64,1,Eye_R,4163,0,285,0,0.48345139937289516
1,0.0001,64,1,Lens_L,4336,0,112,0,0.4936247723132969
1,0.0001,64,1,Lung_L,2569,640,750,489,0.6000389175940646
1,0.0001,64,1,Eye_L,4165,0,283,0,0.4835713456403112
1,0.0001,64,1,Parotid_L,3824,0,624,0,0.4622823984526112
0,0.0001,64,1,Brain,2377,654,1132,285,0.48442339942783863
0,0.0001,64,1,Bone_Mandible,3176,399,788,85,0.4839142037430906
0,0.0001,64,1,SpinalCanal,260,1523,457,2208,0.44921575984990614
0,0.0001,64,1,Glnd_Lacrimal_L,4250,0,198,0,0.48861807312025757
0,0.0001,64,1,Lung_R,763,2441,168,1076,0.410525310570798
0,0.0001,64,1,Glnd_Submand_R,4054,8,386,0,0.4768289814161374
0,0.0001,64,1,Glnd_Lacrimal_R,3970,275,193,10,0.49266116579058195
0,0.0001,64,1,Cochlea_L,3839,515,88,6,0.4733474512622194
0,0.0001,64,1,OpticNrv_cnv_R,4319,0,129,0,0.49264286529029316
0,0.0001,64,1,Lens_R,4176,158,108,6,0.5061499187746578
0,0.0001,64,1,SpinalCord,390,1481,632,1945,0.4588128219563453
0,0.0001,64,1,Parotid_R,3423,399,577,49,0.48323570010003775
0,0.0001,64,1,Glnd_Submand_L,4074,6,367,1,0.4807795642139029
0,0.0001,64,1,Brainstem,2818,986,514,130,0.4687627395026498
0,0.0001,64,1,OpticNrv_cnv_L,4173,144,130,1,0.4877299169440802
0,0.0001,64,1,Cochlea_R,4323,37,88,0,0.49287424466993507
0,0.0001,64,1,Eye_R,4093,70,278,7,0.49894798446771904
0,0.0001,64,1,Lens_L,3572,764,88,24,0.4733900283475071
